"","gene_id","S00CWT11","S00D1D11","S00D2B11","S00D3911","S00D4711","S00D5511","S00XUN11"
"54821","ENSG00000273669.1",3,9,5,6,10,1,3
"54822","ENSG00000273672.1",0,0,0,0,0,0,0
"54823","ENSG00000273674.3",4,0,3,4,0,3,2
"54824","ENSG00000273675.1",0,0,1,0,0,0,0
"54825","ENSG00000273676.1",0,0,0,0,0,0,0
"54826","ENSG00000273677.1",0,0,0,0,0,1,0
"54827","ENSG00000273678.1",0,0,0,0,0,0,0
"54828","ENSG00000273679.1",1,0,0,0,2.03,1.01,0
"54829","ENSG00000273680.1",117,64,77,123,140,57,82
"54830","ENSG00000273682.1",1,0,1,0,1,0,2
"54831","ENSG00000273684.1",0,0,0,0.8,0,0,0
"54832","ENSG00000273685.1",0,0,0,0,0,0,0
"54833","ENSG00000273687.1",8,8,25,25,7,2,15
"54834","ENSG00000273689.1",0,0,0,0,0,0,0
"54835","ENSG00000273690.1",0,0,0,0,0,0,0
"54836","ENSG00000273691.1",80,154,89,99,154,83,97
"54837","ENSG00000273692.1",0,0,0,0,0,0,0
"54838","ENSG00000273693.1",0,0,0,0,0,0,0
"54839","ENSG00000273694.1",0,0,0,0,0,0,0
"54840","ENSG00000273695.1",0,0,0,0,0,0,0
"54841","ENSG00000273696.3",0,8.07,0,0,0,0,0
"54842","ENSG00000273697.1",0,0,0,0,0,0,0
"54843","ENSG00000273698.1",0,0,0,0,0,0,0
"54844","ENSG00000273699.1",0,0,0,0,0,0,0
"54845","ENSG00000273700.1",0,0,0,0,0,0,0
"54846","ENSG00000273701.1",0,0,0,0,0,0,0
"54847","ENSG00000273702.1",44,216,73,73,92,99,154
"54848","ENSG00000273703.1",30,42,51,14,93,42,63
"54849","ENSG00000273704.1",0,0,0,0,0,0,0
"54850","ENSG00000273705.1",0,0.45,0,0,0,0,0
"54851","ENSG00000273706.3",0,0,1,0,0,0,0
"54852","ENSG00000273709.1",0,0,0,0,0,0,0
